first_name,last_name,gender,matriculation_year,matriculation_number,student_id,college,class_of,level,level_for_sorting
Samantha,Ward,F,2020,132,2020-132,STL,2024,Freshman,0
Shannon,Jenkins,F,2020,133,2020-133,STB,2024,Freshman,0
Tara,Allen,F,2020,134,2020-134,STM,2024,Freshman,0
Amanda,Sanders,F,2020,135,2020-135,STB,2024,Freshman,0
Jessica,Ramos,F,2020,136,2020-136,STC,2024,Freshman,0
Katherine,Diaz,F,2020,137,2020-137,STB,2024,Freshman,0
Kendra,Watson,F,2020,138,2020-138,STC,2024,Freshman,0
Kelly,Oneill,F,2020,139,2020-139,STC,2024,Freshman,0
Rita,Tucker,F,2020,140,2020-140,STB,2024,Freshman,0
Jessica,Guzman,F,2020,141,2020-141,STB,2024,Freshman,0
Sara,Nguyen,F,2020,142,2020-142,STC,2024,Freshman,0
Susan,Novak,F,2020,143,2020-143,STB,2024,Freshman,0
Amanda,Smith,F,2020,144,2020-144,STL,2024,Freshman,0
Lindsey,Hill,F,2020,145,2020-145,STC,2024,Freshman,0
Cindy,Johnson,F,2020,146,2020-146,STB,2024,Freshman,0
Heather,Thompson,F,2020,147,2020-147,STC,2024,Freshman,0
Sarah,Glover,F,2020,148,2020-148,STC,2024,Freshman,0
Amanda,Brown,F,2020,149,2020-149,STB,2024,Freshman,0
Alexandria,Bowman,F,2020,150,2020-150,STM,2024,Freshman,0
Lisa,Logan,F,2020,151,2020-151,STL,2024,Freshman,0
Destiny,Alvarez,F,2020,152,2020-152,STB,2024,Freshman,0
Amber,Williams,F,2020,153,2020-153,STL,2024,Freshman,0
Lisa,Black,F,2020,154,2020-154,STM,2024,Freshman,0
Leslie,Soto,F,2020,155,2020-155,STC,2024,Freshman,0
Crystal,Reyes,F,2020,156,2020-156,STB,2024,Freshman,0
Kimberly,Yoder,F,2020,157,2020-157,STC,2024,Freshman,0
Ann,Morris,F,2020,158,2020-158,STM,2024,Freshman,0
Courtney,Smith,F,2020,159,2020-159,STB,2024,Freshman,0
Rebekah,Kennedy,F,2020,160,2020-160,STL,2024,Freshman,0
Renee,Tanner,F,2020,161,2020-161,STB,2024,Freshman,0
Rebecca,Gutierrez,F,2020,162,2020-162,STM,2024,Freshman,0
Kelly,Arias,F,2020,163,2020-163,STL,2024,Freshman,0
Tammy,Anderson,F,2020,164,2020-164,STC,2024,Freshman,0
Candice,Cervantes,F,2020,165,2020-165,STC,2024,Freshman,0
Karen,Thompson,F,2020,166,2020-166,STM,2024,Freshman,0
Mary,Davis,F,2020,167,2020-167,STC,2024,Freshman,0
Whitney,Stuart,F,2020,168,2020-168,STB,2024,Freshman,0
Lisa,Walters,F,2020,169,2020-169,STM,2024,Freshman,0
Rebecca,George,F,2020,170,2020-170,STC,2024,Freshman,0
Victoria,Bartlett,F,2020,171,2020-171,STB,2024,Freshman,0
Danielle,Mendez,F,2020,172,2020-172,STB,2024,Freshman,0
Sarah,Stevens,F,2020,173,2020-173,STM,2024,Freshman,0
Kimberly,Johnson,F,2020,174,2020-174,STM,2024,Freshman,0
Diana,Barnes,F,2020,175,2020-175,STB,2024,Freshman,0
Denise,Johnson,F,2020,176,2020-176,STB,2024,Freshman,0
Cathy,Myers,F,2020,177,2020-177,STM,2024,Freshman,0
Erica,Cook,F,2020,178,2020-178,STB,2024,Freshman,0
Cynthia,Williams,F,2020,179,2020-179,STB,2024,Freshman,0
Michelle,Davidson,F,2020,180,2020-180,STM,2024,Freshman,0
Melissa,Green,F,2020,181,2020-181,STM,2024,Freshman,0
Joanna,Clark,F,2020,182,2020-182,STM,2024,Freshman,0
Susan,Carter,F,2020,183,2020-183,STC,2024,Freshman,0
Allison,Jimenez,F,2020,184,2020-184,STC,2024,Freshman,0
Michelle,Dunn,F,2020,185,2020-185,STB,2024,Freshman,0
Amy,Johnson,F,2020,186,2020-186,STB,2024,Freshman,0
Lisa,Terrell,F,2020,187,2020-187,STM,2024,Freshman,0
Tina,Gonzales,F,2020,188,2020-188,STC,2024,Freshman,0
Tara,Williams,F,2020,189,2020-189,STB,2024,Freshman,0
Joy,Savage,F,2020,190,2020-190,STM,2024,Freshman,0
Stephanie,Wilson,F,2020,191,2020-191,STC,2024,Freshman,0
Maria,Townsend,F,2020,192,2020-192,STB,2024,Freshman,0
Brenda,Harris,F,2020,193,2020-193,STC,2024,Freshman,0
Sarah,Peters,F,2020,194,2020-194,STM,2024,Freshman,0
Brittney,White,F,2020,195,2020-195,STL,2024,Freshman,0
Amber,Sanchez,F,2020,196,2020-196,STM,2024,Freshman,0
Katie,Phelps,F,2020,197,2020-197,STM,2024,Freshman,0
Crystal,Schultz,F,2020,198,2020-198,STB,2024,Freshman,0
Jennifer,Gilmore,F,2020,199,2020-199,STL,2024,Freshman,0
Renee,Mullen,F,2020,200,2020-200,STC,2024,Freshman,0
Cynthia,Blevins,F,2020,201,2020-201,STC,2024,Freshman,0
Alexandra,Ortiz,F,2020,202,2020-202,STC,2024,Freshman,0
Jennifer,Acosta,F,2020,203,2020-203,STC,2024,Freshman,0
Brittney,Williams,F,2020,204,2020-204,STC,2024,Freshman,0
Sara,Douglas,F,2020,205,2020-205,STM,2024,Freshman,0
Jessica,Warren,F,2020,206,2020-206,STL,2024,Freshman,0
Melissa,Sanchez,F,2020,207,2020-207,STB,2024,Freshman,0
Karen,Mcneil,F,2020,208,2020-208,STB,2024,Freshman,0
Kristie,Moore,F,2020,209,2020-209,STL,2024,Freshman,0
Kaylee,Conrad,F,2020,210,2020-210,STM,2024,Freshman,0
Brandi,Rubio,F,2020,211,2020-211,STB,2024,Freshman,0
Elizabeth,Watkins,F,2020,212,2020-212,STM,2024,Freshman,0
Tara,West,F,2020,213,2020-213,STM,2024,Freshman,0
Cheryl,Robertson,F,2020,214,2020-214,STC,2024,Freshman,0
Courtney,Perry,F,2020,215,2020-215,STM,2024,Freshman,0
Pamela,Ortega,F,2020,216,2020-216,STM,2024,Freshman,0
Angelica,Black,F,2020,217,2020-217,STL,2024,Freshman,0
Kristin,Walsh,F,2020,218,2020-218,STL,2024,Freshman,0
Allison,Campbell,F,2020,219,2020-219,STB,2024,Freshman,0
Alexis,Moore,F,2020,220,2020-220,STC,2024,Freshman,0
Ashley,Kelly,F,2020,221,2020-221,STB,2024,Freshman,0
Maria,Garcia,F,2020,222,2020-222,STC,2024,Freshman,0
Katrina,Merritt,F,2020,223,2020-223,STC,2024,Freshman,0
Kristen,Wagner,F,2020,224,2020-224,STB,2024,Freshman,0
Cheryl,Sullivan,F,2020,225,2020-225,STC,2024,Freshman,0
Tina,Martin,F,2020,226,2020-226,STL,2024,Freshman,0
Mary,Fields,F,2020,227,2020-227,STB,2024,Freshman,0
Sarah,Turner,F,2020,228,2020-228,STL,2024,Freshman,0
Julie,Thornton,F,2020,229,2020-229,STL,2024,Freshman,0
Heather,Hill,F,2020,230,2020-230,STM,2024,Freshman,0
Kelly,Harper,F,2020,231,2020-231,STC,2024,Freshman,0
Melissa,Green,F,2020,232,2020-232,STM,2024,Freshman,0
Marissa,Hodges,F,2020,233,2020-233,STC,2024,Freshman,0
Michelle,Lee,F,2020,234,2020-234,STB,2024,Freshman,0
Michelle,Drake,F,2020,235,2020-235,STL,2024,Freshman,0
Jessica,Murphy,F,2020,236,2020-236,STM,2024,Freshman,0
Melissa,Cabrera,F,2020,237,2020-237,STL,2024,Freshman,0
Veronica,Myers,F,2020,238,2020-238,STM,2024,Freshman,0
Sara,Marquez,F,2020,239,2020-239,STM,2024,Freshman,0
Monica,Hale,F,2020,240,2020-240,STC,2024,Freshman,0
Amanda,Johnson,F,2020,241,2020-241,STB,2024,Freshman,0
Hannah,Juarez,F,2020,242,2020-242,STC,2024,Freshman,0
Catherine,Garcia,F,2020,243,2020-243,STB,2024,Freshman,0
Colleen,Miller,F,2020,244,2020-244,STM,2024,Freshman,0
Rebecca,Duncan,F,2020,245,2020-245,STM,2024,Freshman,0
Ashley,Wright,F,2020,246,2020-246,STC,2024,Freshman,0
Kelly,Powell,F,2020,247,2020-247,STC,2024,Freshman,0
Elizabeth,Anderson,F,2020,248,2020-248,STC,2024,Freshman,0
Samantha,Campos,F,2020,249,2020-249,STM,2024,Freshman,0
Brittany,Howard,F,2020,250,2020-250,STC,2024,Freshman,0
Alyssa,Johnson,F,2020,251,2020-251,STM,2024,Freshman,0
Jennifer,Singleton,F,2020,252,2020-252,STL,2024,Freshman,0
Jessica,Bean,F,2020,253,2020-253,STC,2024,Freshman,0
Sarah,Garcia,F,2020,254,2020-254,STC,2024,Freshman,0
Rebecca,Clarke,F,2020,255,2020-255,STM,2024,Freshman,0
Becky,Castro,F,2020,256,2020-256,STL,2024,Freshman,0
Vanessa,Miller,F,2020,257,2020-257,STC,2024,Freshman,0
Courtney,Camacho,F,2020,258,2020-258,STB,2024,Freshman,0
Brenda,Davis,F,2020,259,2020-259,STC,2024,Freshman,0
Courtney,Wilson,F,2020,260,2020-260,STM,2024,Freshman,0
Jocelyn,Kennedy,F,2020,261,2020-261,STC,2024,Freshman,0
Alyssa,Reynolds,F,2020,262,2020-262,STL,2024,Freshman,0
Natalie,Clark,F,2020,263,2020-263,STM,2024,Freshman,0
Amanda,Deleon,F,2020,264,2020-264,STM,2024,Freshman,0
Linda,Payne,F,2020,265,2020-265,STM,2024,Freshman,0
Jasmine,Brown,F,2020,266,2020-266,STB,2024,Freshman,0
Emily,Perez,F,2020,267,2020-267,STM,2024,Freshman,0
Shelby,Webster,F,2020,268,2020-268,STB,2024,Freshman,0
Stephanie,Murphy,F,2020,269,2020-269,STC,2024,Freshman,0
Patricia,Gonzalez,F,2020,270,2020-270,STC,2024,Freshman,0
Catherine,Moon,F,2020,271,2020-271,STM,2024,Freshman,0
Pamela,Snow,F,2020,272,2020-272,STM,2024,Freshman,0
Megan,Kramer,F,2020,273,2020-273,STM,2024,Freshman,0
Julie,Werner,F,2020,274,2020-274,STM,2024,Freshman,0
Angela,Evans,F,2020,275,2020-275,STC,2024,Freshman,0
Lisa,Allen,F,2020,276,2020-276,STC,2024,Freshman,0
Amy,Mckinney,F,2020,277,2020-277,STL,2024,Freshman,0
Rachel,Riley,F,2020,278,2020-278,STC,2024,Freshman,0
Jennifer,Glass,F,2020,279,2020-279,STM,2024,Freshman,0
Megan,Mason,F,2020,280,2020-280,STC,2024,Freshman,0
Lindsey,Gay,F,2020,281,2020-281,STC,2024,Freshman,0
Anne,Lewis,F,2020,282,2020-282,STC,2024,Freshman,0
Kelly,Evans,F,2020,283,2020-283,STM,2024,Freshman,0
Lori,Cooke,F,2020,284,2020-284,STB,2024,Freshman,0
Julie,Reyes,F,2020,285,2020-285,STM,2024,Freshman,0
Diamond,Whitaker,F,2020,286,2020-286,STM,2024,Freshman,0
Erica,Walter,F,2020,287,2020-287,STM,2024,Freshman,0
Lisa,Allen,F,2020,288,2020-288,STL,2024,Freshman,0
Lisa,Grant,F,2020,289,2020-289,STM,2024,Freshman,0
Kiara,Gomez,F,2020,290,2020-290,STL,2024,Freshman,0
Kathryn,Roy,F,2020,291,2020-291,STL,2024,Freshman,0
Dawn,Pollard,F,2020,292,2020-292,STC,2024,Freshman,0
Sheri,Byrd,F,2020,293,2020-293,STM,2024,Freshman,0
Monica,Brandt,F,2020,294,2020-294,STB,2024,Freshman,0
Elizabeth,Johnson,F,2020,295,2020-295,STM,2024,Freshman,0
Heather,Short,F,2020,296,2020-296,STB,2024,Freshman,0
Amy,Williams,F,2020,297,2020-297,STB,2024,Freshman,0
Emily,Medina,F,2020,298,2020-298,STL,2024,Freshman,0
Erica,Mcdowell,F,2020,299,2020-299,STC,2024,Freshman,0
Lisa,Ortiz,F,2020,300,2020-300,STC,2024,Freshman,0
Lisa,Smith,F,2020,301,2020-301,STM,2024,Freshman,0
Stephanie,Turner,F,2020,302,2020-302,STC,2024,Freshman,0
Samantha,Zimmerman,F,2020,303,2020-303,STM,2024,Freshman,0
Erin,Deleon,F,2020,304,2020-304,STM,2024,Freshman,0
Michelle,Smith,F,2020,305,2020-305,STC,2024,Freshman,0
Katelyn,Riley,F,2020,306,2020-306,STM,2024,Freshman,0
Kimberly,Gray,F,2020,307,2020-307,STB,2024,Freshman,0
Anna,Wheeler,F,2020,308,2020-308,STC,2024,Freshman,0
Erica,Smith,F,2020,309,2020-309,STL,2024,Freshman,0
Yvette,Meyer,F,2020,310,2020-310,STC,2024,Freshman,0
Karen,Sanchez,F,2020,311,2020-311,STM,2024,Freshman,0
Virginia,Russell,F,2020,312,2020-312,STM,2024,Freshman,0
Stephanie,Roberts,F,2020,313,2020-313,STB,2024,Freshman,0
Jasmine,Scott,F,2020,314,2020-314,STC,2024,Freshman,0
Melissa,House,F,2020,315,2020-315,STB,2024,Freshman,0
Dawn,Moran,F,2020,316,2020-316,STM,2024,Freshman,0
Glenda,Brady,F,2020,317,2020-317,STC,2024,Freshman,0
Karen,Kaufman,F,2020,318,2020-318,STB,2024,Freshman,0
Rebecca,Wong,F,2020,319,2020-319,STM,2024,Freshman,0
Julie,Hurst,F,2020,320,2020-320,STC,2024,Freshman,0
Ashley,Davis,F,2020,321,2020-321,STM,2024,Freshman,0
Jessica,Hess,F,2020,322,2020-322,STC,2024,Freshman,0
Alexis,Romero,F,2020,323,2020-323,STB,2024,Freshman,0
Julie,Jones,F,2020,324,2020-324,STM,2024,Freshman,0
Mary,Lee,F,2020,325,2020-325,STC,2024,Freshman,0
Nicole,Frost,F,2020,326,2020-326,STC,2024,Freshman,0
Erica,Bishop,F,2020,327,2020-327,STB,2024,Freshman,0
Kristina,Briggs,F,2020,328,2020-328,STL,2024,Freshman,0
Patricia,Richards,F,2020,329,2020-329,STC,2024,Freshman,0
Amanda,Wu,F,2020,330,2020-330,STB,2024,Freshman,0
Kylie,Brewer,F,2020,331,2020-331,STC,2024,Freshman,0
Julie,Bailey,F,2020,332,2020-332,STL,2024,Freshman,0
Kathleen,Ward,F,2020,333,2020-333,STM,2024,Freshman,0
Darlene,Morton,F,2020,334,2020-334,STC,2024,Freshman,0
Morgan,Gilbert,F,2020,335,2020-335,STB,2024,Freshman,0
Sarah,Lopez,F,2020,336,2020-336,STC,2024,Freshman,0
Tina,Hamilton,F,2020,337,2020-337,STL,2024,Freshman,0
Jennifer,Murphy,F,2020,338,2020-338,STL,2024,Freshman,0
Margaret,Gonzalez,F,2020,339,2020-339,STL,2024,Freshman,0
Elizabeth,Sanchez,F,2020,340,2020-340,STL,2024,Freshman,0
Stacy,Carter,F,2020,341,2020-341,STB,2024,Freshman,0
Claudia,Blackwell,F,2020,342,2020-342,STB,2024,Freshman,0
Sonia,Espinoza,F,2020,343,2020-343,STM,2024,Freshman,0
Kristen,Harper,F,2020,344,2020-344,STM,2024,Freshman,0
Katherine,Oneill,F,2020,345,2020-345,STC,2024,Freshman,0
Betty,Wilson,F,2020,346,2020-346,STL,2024,Freshman,0
Shelby,Castro,F,2020,347,2020-347,STM,2024,Freshman,0
Christina,Smith,F,2020,348,2020-348,STB,2024,Freshman,0
Patricia,Carter,F,2020,349,2020-349,STM,2024,Freshman,0
Taylor,Peterson,F,2020,350,2020-350,STM,2024,Freshman,0
Elizabeth,Chen,F,2020,351,2020-351,STC,2024,Freshman,0
Erika,Wiggins,F,2020,352,2020-352,STM,2024,Freshman,0
Nicole,Coleman,F,2020,353,2020-353,STM,2024,Freshman,0
Molly,Gonzalez,F,2020,354,2020-354,STC,2024,Freshman,0
Andrea,Watkins,F,2020,355,2020-355,STB,2024,Freshman,0
Brittany,Warren,F,2020,356,2020-356,STC,2024,Freshman,0
Brittney,Wood,F,2020,357,2020-357,STM,2024,Freshman,0
Jamie,Chung,F,2020,358,2020-358,STB,2024,Freshman,0
Suzanne,Donaldson,F,2020,359,2020-359,STB,2024,Freshman,0
Brittany,Romero,F,2020,360,2020-360,STC,2024,Freshman,0
Shannon,Bradford,F,2020,361,2020-361,STC,2024,Freshman,0
Lori,Mendoza,F,2020,362,2020-362,STC,2024,Freshman,0
Elizabeth,Diaz,F,2020,363,2020-363,STB,2024,Freshman,0
Amy,Brooks,F,2020,364,2020-364,STB,2024,Freshman,0
Marilyn,Bean,F,2020,365,2020-365,STC,2024,Freshman,0
Tammy,Palmer,F,2020,366,2020-366,STC,2024,Freshman,0
Jessica,Carey,F,2020,367,2020-367,STM,2024,Freshman,0
Rachel,Cannon,F,2020,368,2020-368,STL,2024,Freshman,0
Amanda,Farley,F,2020,369,2020-369,STM,2024,Freshman,0
Kristine,Perry,F,2020,370,2020-370,STM,2024,Freshman,0
Tammy,Herrera,F,2020,371,2020-371,STL,2024,Freshman,0
Sabrina,Rogers,F,2020,372,2020-372,STL,2024,Freshman,0
Paula,Jacobson,F,2020,373,2020-373,STB,2024,Freshman,0
Chelsea,Jackson,F,2020,374,2020-374,STL,2024,Freshman,0
Kimberly,Alexander,F,2020,375,2020-375,STB,2024,Freshman,0
Danielle,Murphy,F,2020,376,2020-376,STM,2024,Freshman,0
Tracey,Newton,F,2020,377,2020-377,STB,2024,Freshman,0
Susan,Bryant,F,2020,378,2020-378,STM,2024,Freshman,0
Sandra,Diaz,F,2020,379,2020-379,STM,2024,Freshman,0
Taylor,Graham,F,2020,380,2020-380,STC,2024,Freshman,0
Heather,Hurst,F,2020,381,2020-381,STC,2024,Freshman,0
Mia,Casey,F,2020,382,2020-382,STC,2024,Freshman,0
Karen,Thompson,F,2020,383,2020-383,STM,2024,Freshman,0
Elizabeth,Allen,F,2020,384,2020-384,STB,2024,Freshman,0
Elizabeth,James,F,2020,385,2020-385,STC,2024,Freshman,0
Tiffany,Garner,F,2020,386,2020-386,STC,2024,Freshman,0
Brittney,Jackson,F,2020,387,2020-387,STB,2024,Freshman,0
Savannah,Waters,F,2020,388,2020-388,STC,2024,Freshman,0
Morgan,Lewis,F,2020,389,2020-389,STM,2024,Freshman,0
Janice,Richardson,F,2020,390,2020-390,STB,2024,Freshman,0
Paula,Sharp,F,2020,391,2020-391,STM,2024,Freshman,0
Annette,Hines,F,2020,392,2020-392,STB,2024,Freshman,0
Gabrielle,Perry,F,2020,393,2020-393,STC,2024,Freshman,0
Natasha,Bennett,F,2020,394,2020-394,STC,2024,Freshman,0
Maria,Reyes,F,2020,395,2020-395,STC,2024,Freshman,0
Linda,Jones,F,2020,396,2020-396,STC,2024,Freshman,0
April,Cervantes,F,2020,397,2020-397,STB,2024,Freshman,0
Katie,Long,F,2020,398,2020-398,STC,2024,Freshman,0
Elizabeth,Brown,F,2020,399,2020-399,STC,2024,Freshman,0
Christine,Butler,F,2020,400,2020-400,STB,2024,Freshman,0
Carrie,Michael,F,2020,401,2020-401,STM,2024,Freshman,0
Jacqueline,Lee,F,2020,402,2020-402,STB,2024,Freshman,0
